SENSOR1,SENSOR2,SENSOR3
887,577,769
1638,546,844
1865,515,1012
914,434,1031
1638,422,1050
1210,368,1124
858,316,881
858,346,844
1025,353,863
1479,292,881
969,302,993
895,277,937
901,277,937
969,271,1012
895,284,956
895,284,956
839,314,993
932,341,2092
932,353,1086
987,425,2401
1043,437,794
1173,510,844
1006,513,975
1429,557,862
877,512,1143
876,575,1623
821,573,844
767,551,844
1811,560,850
801,600,937
739,563,1301
716,602,668
619,584,634
602,323,685
545,706,668
882,1460,571
551,696,588
619,681,520
568,687,589
568,639,554
2241,672,531
2013,657,520
839,684,617
1608,663,1693
545,663,479
2013,654,520
619,609,623
568,654,571
620,37,634
698,567,703
773,596,674
722,590,881
766,665,881
602,591,844
613,678,685
545,554,572
514,584,554
466,567,451
585,563,428
408,723,480
1744,749,445
528,650,530
528,488,503
562,37,720
636,575,720
670,1027,685
613,542,754
665,557,1448
1025,880,1049
1025,855,1049
1080,856,1049
1080,861,1050
1080,879,1049
1081,855,975
1080,855,1049
1081,886,1049
1080,856,1049
1081,855,1049
1080,855,1049
1081,861,1049
1081,855,1049
1081,855,1050
1081,855,1049
1081,885,974
1080,855,1050
1081,855,1049
1081,855,1049
1080,861,1049
1080,856,1049
1080,856,1050
1080,855,1049
1080,862,1049
1081,856,1049
1080,855,1050
1006,834,1031
969,820,993
914,739,881
895,747,863
858,686,831
821,669,863
807,630,743
698,593,754
821,548,686
665,542,702
1689,551,789
784,560,703
767,614,754
839,696,868
932,753,844
950,825,937
1006,876,994
988,918,1068
1062,970,1087
1118,970,1087
1192,1021,1143
1244,1051,1228
1204,1090,1279
1227,1106,1448
1322,1132,1296
1322,1156,1346
1463,1187,1319
1362,1175,1301
1463,1181,1250
1865,1177,1234
2094,1199,1161
2027,1180,1180
1759,1190,1198
1362,1171,1403
1261,1181,1504
1192,1175,1617
1186,1250,1982
1192,1307,1997
1192,1235,1845
1288,1180,1386
1395,1196,1268
1379,1180,1268
1379,1202,1267
1378,1205,1313
1373,1202,1262
