SENSOR1,SENSOR2,SENSOR3
840,826,703
839,825,703
845,778,754
858,801,720
840,771,826
839,705,641
596,530,606
528,509,480
596,524,514
733,599,634
784,663,531
839,768,806
858,807,744
877,1012,737
895,1057,845
901,934,844
876,1051,902
858,982,863
895,989,844
901,937,845
969,946,901
1025,958,882
1044,898,882
989,874,863
1007,925,863
895,934,863
839,997,919
821,1258,888
563,636,635
534,549,600
381,470,445
432,509,462
494,603,669
705,744,634
877,2060,882
883,930,754
932,1013,845
914,1009,772
1100,1066,668
970,979,1648
932,1015,778
933,1009,675
913,1009,720
970,1012,806
914,1012,844
988,988,826
988,1021,686
933,994,686
