SENSOR1,SENSOR2,SENSOR3
69484,500,2689
3896,494,2724
3411,463,2524
3683,473,2408
3429,434,2443
3805,524,2455
1155,536,2308
3273,527,2322
3372,419,2356
3194,446,2426
3412,428,2484
2413,428,2815
2545,425,2814
69489,427,2814
6885,416,2804
2189,440,2397
3494,482,844
3355,470,2302
671,476,2209
895,494,851
682,527,863
69496,428,2466
3904,389,2322
4007,358,2227
3191,263,2173
3412,338,2235
858,542,3192
1715,780,2813
2242,946,3092
1430,1039,2794
2148,1120,2039
1278,1124,2983
1211,970,1624
970,738,2909
839,630,2718
733,473,2619
877,422,2572
602,422,2792
631,440,2335
634,464,863
821,446,863
562,530,845
562,437,3988
4900,425,2824
4310,407,2974
3966,491,2874
2400,458,2814
6032,461,3217
6006,467,2478
2511,506,2389
914,922,572
858,819,623
858,973,907
951,1003,882
864,1177,2454
1971,963,668
858,945,825
839,1042,869
839,1087,900
784,828,685
896,939,844
1238,1273,2843
1222,1279,3470
1026,1138,2079
688,828,703
1592,882,725
840,970,900
1118,1006,1012
1941,1836,1966
1941,1831,2065
1941,1855,2065
1941,1828,1967
1947,1828,1967
1941,1828,1967
1941,1836,2040
1947,1829,1967
1941,1830,2040
1941,1835,1967
1947,1831,1967
1941,1830,2067
1941,1831,2066
1941,1855,2066
1942,1837,2066
