SENSOR1,SENSOR2,SENSOR3
840,645,738
846,669,737
840,675,743
840,654,806
1007,639,789
895,659,789
846,660,844
901,663,826
933,723,863
914,802,938
1044,861,1050
1118,961,1125
1581,1003,1143
1227,1075,1432
1278,1148,1285
1660,1180,1314
1660,1258,1398
1508,1371,1663
1565,1419,1618
1630,1505,1669
1730,1607,1754
1911,1682,1845
2014,1854,2019
2055,1897,2026
2175,1969,2052
2122,2015,2147
2249,2047,2106
2249,2047,2075
2122,2033,2187
2108,2018,2092
2122,1936,2066
2014,1799,1921
1699,1605,1754
1614,1430,1617
1463,1337,1500
1660,1232,1516
1675,1108,1228
1272,1045,1245
1136,982,1137
1007,880,994
1044,786,919
895,744,844
840,678,863
839,633,844
790,606,845
716,593,760
821,617,737
807,623,772
839,681,826
951,762,900
2014,895,919
3006,982,919
3189,1018,937
3164,1045,937
3095,1022,956
3095,1049,956
3096,1024,956
3174,1027,919
3154,1024,1050
1211,1066,1319
1100,1145,2120
1137,1226,2079
1118,1235,2093
1118,1205,2080
1174,1162,2039
1137,1109,1438
1278,1097,1229
1558,1103,1234
2121,1172,1303
1669,1260,1353
1638,1358,1669
1714,1470,1618
1766,1567,1685
1940,1739,1852
2015,1805,1937
2054,1735,1831
1745,1572,1663
1654,1346,1448
1608,1087,1217
1379,1037,1124
1379,1036,1124
1373,1012,1123
1323,1012,1118
1373,1012,1125
1323,1013,1124
