SENSOR1,SENSOR2,DISTANCIA
840,806,10
839,806,10
846,812,10
839,863,10
844,812,10
1137,1162,15
1210,1157,15
1211,1162,15
1136,1162,15
1204,1161,15
1446,1465,20
1446,1466,20
1441,1471,20
1447,1471,20
1447,1465,20
1690,1745,25
1684,1785,25
1684,1785,25
1690,1745,25
1684,1785,25
1941,2026,30
1947,2026,30
1941,2032,30
1941,2026,30
1941,2025,30
2295,2301,35
2295,2307,35
2295,2307,35
2295,2301,35
2289,2307,35
2551,2554,40
2575,2548,40
2575,2548,40
2551,2548,40
2546,2548,40
2789,2843,45
2788,2843,45
2794,285,45
2788,2843,45
2787,2844,45
3046,3091,50
3046,3071,50
3046,3091,50
3061,3071,50
3046,3171,50
3321,3285,55
3296,3291,55
3315,3265,55
3329,2992,55
3329,2991,55
3590,3626,60
3591,3283,60
3584,3232,60
3590,3198,60
3590,3256,60
