"SENSOR1","SENSOR2","DISTANCIA"
"704","752","10"
"700","748","10"
"724","728","10"
"696","752","10"
"696","752","10"
"1088","1156","15"
"1036","1052","15"
"1032","1052","15"
"1032","1076","15"
"1036","1156","15"
"1324","1380","20"
"1316","1700","20"
"1292","1380","20"
"1296","1332","20"
"1296","1332","20"
"1556","1580","25"
"1560","1528","25"
"1584","1556","25"
"1588","1552","25"
"1560","1528","25"
"1720","1688","30"
"1712","1632","30"
"1736","1632","30"
"1712","1640","30"
"1708","1636","30"
"2108","2048","35"
"2156","2064","35"
"2116","2088","35"
"2128","2088","35"
"2124","2032","35"
"2468","2400","40"
"2440","2396","40"
"2464","2368","40"
"5328","2416","40"
"2516","2396","40"
"2748","2648","45"
"2728","2696","45"
"2752","2724","45"
"2844","2848","45"
"2768","2720","45"
"3064","2992","50"
"3060","3016","50"
"3064","3016","50"
"3040","3144","50"
"3036","3064","50"
"3372","3372","55"
"3324","3364","55"
"3320","3336","55"
"3344","3360","55"
"3340","3340","55"
"3560","3532","60"
"3584","3552","60"
"3572","3528","60"
"3648","3552","60"
"3584","3552","60"
